Facility_name,Person_running_it,Job_title,Phone,Url,Facility_type,Number_of_bads
Klondike Hills Assisted Living,Julia Twamley,Manager and DNS,509-775-3333,http://www.fcphd.org/kh.html,Assisted Living Facility, 16
Village Concepts of Fairwood,Lynda White Eagle,Executive Director/DNS,425-651-6960,http://www.villageconcepts.com,Assisted Living Facility, 85
Mission Healthcare at Renton,Roger Moore,Administrator,425-362-6200,http://www.missionhealthcare.com,Skilled Nursing Facility, 60
Greenlake Renton Assisted Living,Dustin Austin,Executive Director,425-226-8977,http://www.greenlakeseniorliving.com,Assisted Living Facility, 105
Merrill Gardens at Renton Centre,Shelley Thompson,Senior General Manager,425-272-1193,http://www.merrillgardens.com,Assisted Living Facility, 110
Chateau at Valley Center,Muna Kore,Executive Director,425-251-6677,http://www.chateaullc.com,Assisted Living Facility, 120
Arcadia Healthcare – Renton,Jason Maheia,Administrator,425-226-4610,,Skilled Nursing Facility, 99
Arcadia Healthcare – Talbot,Lawrence Shurman,Administrator,425-226-7500,,Skilled Nursing Facility, 136
Stillwater House,Deborah Parks,Administrator,425-653-5080,,Assisted Living Facility, 16
Redmond Heights Senior Living,Laurel Simms,Executive Director,425-885-4157,,Assisted Living Facility, 85
Redmond Care and Rehabilitation Center,Nathan Holmes,Administrator,425-885-0808,http://www.ensigngroup.net,Skilled Nursing Facility, 139
Peters Creek Retirement Community,Jen Pretty,Executive Director,425-869-2273,http://www.peters-creek.com,Assisted Living Facility, 70
Fairwinds-Redmond,Lynn Glenn,Executive Director,425-558-4700,http://www.leisurecare.com,Assisted Living Facility, 50
Aegis of Redmond,Ebrima Gomez,General Manager,425-883-4000,http://www.aegisliving.com,Assisted Living Facility, 52
Aegis of Marymoor,Michelle Vercruysse,General Manager,425-497-0900,http://www.aegisliving.com,Assisted Living Facility, 72
Willapa Harbor Care,Jerry Noviello,Administrator,360-942-2424,,Skilled Nursing Facility, 60
The Cambridge,Linzi Michel,Administrator,509-797-9555,,Assisted Living Facility, 36
The Rivers at Puyallup,Patricia Santos Love,Executive Director,253-848-1234,http://www.PegasusSeniorLiving.com,Assisted Living Facility, 120
Silver Creek Retirement & Assisted Living,Cheryl Torres,Executive Director,253-875-8644,http://www.bonaventuresenior.com,Assisted Living Facility, 104
Rainier Rehabilitation,Brett Watson,Executive Director,253-841-3422,http://www.ensigngroup.net,Skilled Nursing Facility, 117
Puyallup Valley Enhanced Residential Care,Gerald Pratt,Administrator,253-845-5398,,Assisted Living Facility, 53
Puyallup Nursing & Rehabilitation Center,Kevin Fletcher,Administrator,253-845-6631,,Skilled Nursing Facility, 96
Linden Grove Center,Andrea Moeun,Administrator,253-840-4400,,Skilled Nursing Facility, 130
Life Care Center of South Hill,Lyndsey Proctor,AIT,253-841-6600,http://www.lcca.com,Skilled Nursing Facility, 100
Life Care Center of Puyallup,Moussa Compaore,Executive Director,253-845-7566,http://www.lcca.com,Skilled Nursing Facility, 102
Fieldstone Memory Care Puyallup,,,253-904-3535,http://www.fieldstonecommunities.com,Assisted Living Facility, 66
Brookdale Puyallup South,Hattie Russell,Executive Director,253-445-1300,http://www.brookdale.com,Assisted Living Facility, 64
Brookdale Courtyard Puyallup,Mike Schwartz,Executive Director,253-841-9722,http://www.brookdale.com,Assisted Living Facility, 120
Bonaventure of Puyallup,Nerissa Bailey,Executive Director,253-256-1150,https://bonaventuresenior.com/communities/bonaventure-of-puyallup/,Assisted Living Facility, 109
Regency Pullman,Lori Eberharter,Executive Director,509-332-2629,http://www.whitmanslc.com,Assisted Living Facility, 84
Pullman Care,Titi Adeyemi,Administrator,509-332-1566,https://calderacare.com/,Skilled Nursing Facility, 48
Bishop Place Senior Living,Laurie Brown,Executive Director,509-334-9488,http://www.bishopplace.net,Assisted Living Facility, 121
Sun Terrace Prosser,,,509-786-3300,http://www.sunterraceprosser.com,Assisted Living Facility, 95
Liberty Shores Assisted Living Community,Deanna  Hilse,Administrator,360-779-5533,http://www.libertyshores.com,Assisted Living Facility, 112
Amber Hills Assisted Living,Thomas McDaniel,Executive Director,509-786-3100,http://www.greenlakeseniorliving.com,Assisted Living Facility, 44
Brookdale Montclair Poulsbo,Adam Cary,Executive Director,360-697-2223,http://www.brookdale.com,Assisted Living Facility, 122
San Juan Villa,Christina Soule,Executive Director,360-344-3114,http://www.caringplaces.com,Assisted Living Facility, 32
Life Care Center of Port Townsend,Angela Cerna,Administrator,360-385-3555,http://www.lcca.com,Skilled Nursing Facility, 94
Avamere at Port Townsend,Mary Winters,Administrator,360-379-9376,http://www.avamere.com,Assisted Living Facility, 90
Stafford Suites at Port Orchard,Jessica Houck,Executive Director,360-874-1212,http://www.staffordcare.com,Assisted Living Facility, 60
Park Vista Retirement & Assisted Living,Michael Ball,Executive Director,360-871-2323,http://www.bonaventuresenior.com,Assisted Living Facility, 109
Orchard Pointe Memory Care Comm.,Taylor Burns,Executive Director,360-874-7400,http://www.seniorlifestyle.com,Assisted Living Facility, 45
Life Care Center of Port Orchard,,,360-876-8035,http://www.lcca.com,Skilled Nursing Facility, 125
Park View Villas,Pauline Smith,Executive Director,360-452-7222,http://www.villageconcepts.com,Assisted Living Facility, 65
Avamere Rehabilitation at Ridgemont,Heather Dartt,Administrator,360-876-4461,,Skilled Nursing Facility, 96
Olympic View Care,Carol Ann Andrews,Administrator,360-452-9206,http://calderacare.com,Skilled Nursing Facility, 101
Laurel Place,Holly Jangula,Assistant Administrator,360-452-7201,http://www.caringplaces.com,Assisted Living Facility, 45
Highland Court Memory Care,Helen Milligan,Administrator,360-452-9086,,Assisted Living Facility, 43
Golden Years Personal Care,Tiana Fitzsimmons,Administrator,360-452-1566,,Assisted Living Facility, 16
Tri-Cities Retirement Inn,Laura Samuel,Executive Director,509-547-2466,,Assisted Living Facility, 138
Avalon Care Center – Pasco,Audra Gutierrez-Ritari,Administrator,509-547-8811,http://www.avalonhci.com,Skilled Nursing Facility, 108
Coventry House Assisted Living,Monica Flores,Executive Director,509-488-1000,http://www.coventryhouse.org,Assisted Living Facility, 55
Othello Care,Bobbie Cheville,Administrator,509-488-9609,http://calderacare.com,Skilled Nursing Facility, 39
Regency Omak,,,509-846-7700,http://www.regency-pacific.com,Skilled Nursing Facility, 56
The Sequoia,Carolyn Driscoll,Executive Director,360-529-0154,http://www.thesequoia-olympia.com,Assisted Living Facility, 97
Puget Sound Health Care Center,Ashley Hogue,Administrator,360-754-9792,http://www.pugetsoundskillednursing.com,Skilled Nursing Facility, 108
Regency Olympia,Jameson Bird,Administrator,360-943-0910,http://www.regencypacificinc.com,Skilled Nursing Facility, 28
Olympics West Retirement Inn,Matt Crockett,Administrator,360-943-9900,http://www.jeaseniorliving.com,Assisted Living Facility, 100
Olympia Transitional Care & Rehabilitation,Vivian Currie,Administrator,360-491-9700,http://www.olympiatransitional.com,Skilled Nursing Facility, 135
Garden Courte Memory Care,Tawnya Krall,Executive Director,360-491-4435,http://www.gardencourtemc.com,Assisted Living Facility, 93
Fieldstone Memory Care of Olympia,Rachael Kendall,Executive Director,360-915-5737,,Assisted Living Facility, 57
Fieldstone Cooper Point,Rachael Kendall,Executive Director,360-915-5764,,Assisted Living Facility, 120
Brookdale Olympia West,Jennifer Hills,Executive Director,360-236-1400,http://www.brookdale.com,Assisted Living Facility, 64
Ocean Shores Assisted Living,Marilee Wylet,Executive Director,360-289-9663,http://www.greenlakeseniorliving.com,Assisted Living Facility, 54
Brookdale Olympia East,Gwynn Chernysheff,Executive Director,360-456-0601,http://www.brookdale.com,Assisted Living Facility, 75
Artesian Place,Lori Luzader,Executive Director,360-956-3396,http://www.caringplaces.com,Assisted Living Facility, 65
Golden Sands Regency Long Beach,Anne Mattson,Executive Director,360-665-0190,http://www.regency-pacific.com,Assisted Living Facility, 43
Welcome Home Oak Harbor Senior Memory Care,Chelsie McGuire,Administrator,360-682-5998,,Assisted Living Facility, 55
Summer Hill Assisted Living,"Leslie Burns, RN",Executive Director,360-679-1400,,Assisted Living Facility, 70
Regency on Whidbey,Wilma Jo Flaherty,Administrator,360-279-0933,http://www.regency-pacific.com,Assisted Living Facility, 114
Home Place Special Care at Oak Harbor,Mykel Husk,Executive Director,360-279-2555,http://www.homeplaceoakharbor.com,Assisted Living Facility, 50
North Bend Post Acute,Jamilyn Bloodworth,Operations Manager/Administrator,425-888-2129,http://www.foundationrc.com,Skilled Nursing Facility, 64
Red Oak Residence of North Bend,Amy Jarboe,Administrator,425-888-7108,http://www.redoakresidence.com,Assisted Living Facility, 38
River Mountain Village Assisted Living,Tom Wilbur,CEO,509-447-2903,http://www.Phd1.org,Assisted Living Facility, 99
Regency Newcastle,Raminder Najjir,Executive Director,425-453-1508,http://www.regencypacificinc.com,Assisted Living Facility, 85
Harbor Tower Village,Sandra Jensen,Executive Director,360-675-2569,http://www.villageconcepts.com,Assisted Living Facility, 27
Aegis Gardens of Newcastle,Lori Stiff,Acting General Manager,425-970-6708,http://www.aegisliving.com,Assisted Living Facility, 140
Colville Tribal Convalescent Center,Sally Hutton,Administrator,509-634-2878,,Skilled Nursing Facility, 44
Mukilteo Memory Care,Stephanie Mizell,Executive Director,425-267-0808,,Assisted Living Facility, 60
Harbour Pointe Senior Living,Jennifer Dennis,Administrator,425-493-8555,http://www.islllc.com,Assisted Living Facility, 136
Mountlake Terrace Plaza,Paula Banno,Executive Director,425-672-4673,http://www.mbkseniorliving.com,Assisted Living Facility, 65
The Bridge at Mt. Vernon,Loise Kamau,Executive Director,360-416-0400,,Assisted Living Facility, 50
Mountain Glen Retirement Center,Kimberly Johnson,Executive Director,360-424-7900,http://www.mtngln.com,Assisted Living Facility, 83
Mira Vista Care Center,Carl Moody,Administrator,360-424-1320,http://www.ensigngroup.net,Skilled Nursing Facility, 94
Life Care Center of Mt. Vernon,Rob Jewett,Executive Director,360-424-4258,http://www.lcca.com,Skilled Nursing Facility, 121
Ashley Gardens at Mt. Vernon,Chehara Green,Administrator,360-419-9422,http://www.cascadeliving.com,Assisted Living Facility, 40
Summer Wood Alzheimer’s Special Care Center,Laurie Ahmann,Administrator,509-764-1900,http://www.jeaseniorliving.com,Assisted Living Facility, 56
Monroe House Retirement & Care Center,Debi Rhodes,ED and Resident Care Director,509-765-2200,http://www.genesishcc.com,Assisted Living Facility, 41
Lake Ridge Solona Alzheimers Care Center,Patty Lin,Administrator,509-765-7835,http://www.genesishcc.com,Skilled Nursing Facility, 74
Columbia Crest Care & Rehabilitation,Matthew Trinnaman,Administrator,509-765-6788,http://www.genesishcc.com,Skilled Nursing Facility, 111
Brookdale Hearthstone Moses Lake,Joe Ketterer,Executive Director,509-765-2121,http://www.brookdale.com,Assisted Living Facility, 100
Avamere at Moses Lake,Jodi Montoya,Executive Director,509-762-9115,http://www.avamere.com,Assisted Living Facility, 85
Heritage House Morton,Tammi Elswick,Administrator,360-496-6699,http://www.caringplaces.com,Assisted Living Facility, 44
Montesano Health & Rehab Center,,,360-249-2273,http://www.genesishcc.com,Skilled Nursing Facility, 94
Regency Care Center at Monroe,Jodi Nordstrom,Administrator,360-794-4011,http://www.regencymonroe.com,Skilled Nursing Facility, 92
Brookdale Monroe,Loretta Kreeger,Executive Director,360-794-4284,http://www.brookdale.com,Assisted Living Facility, 82
Mill Ridge Village,,,253-925-9200,http://www.villageconcepts.com,Assisted Living Facility, 50
Cogir of Mill Creek,,,425-338-1580,http://www.cogirofmillcreekseniorliving.com,Assisted Living Facility, 80
Sunrise of Mercer Island,Kim MacDonald,Executive Director,206-232-6565,http://www.sunrisemercerisland.com,Assisted Living Facility, 64
Island House,Zik Uduma,Executive Director,206-962-5479,http://www.mbkseniorliving.com,Assisted Living Facility, 55
Aljoya Mercer Island,Marla Becker,Executive Director,206-230-0150,http://aljoya.com,Assisted Living Facility, 35
Aegis of Mercer Island,Alice Bouman,Acting General Manager/Vice President of Operations,206-602-1365,http://www.aegisliving.com,Assisted Living Facility, 128
Beehive Retirement and Assisted Living,Michelle Dube,Executive Director,360-495-3555,http://www.caringplaces.com,Assisted Living Facility, 61
The Gardens at Marysville,,,360-659-1279,http://www.PegasusSeniorLiving.com,Assisted Living Facility, 80
Mountain View Rehab and Care Center,Kyle Smith,Administrator,360-659-1259,http://www.ensigngroup.net,Skilled Nursing Facility, 82
Marysville Care Center,Jack Striker,Administrator,360-659-3926,http://www.lcca.com,Skilled Nursing Facility, 97
Fieldstone Memory Care of Marysville,Melissa Lones,Executive Director,360-244-4180,http://www.fieldstonecommunities.com,Assisted Living Facility, 70
Grandview Village,Abby Manibusan,Executive Director and RCC,360-653-2223,http://www.villageconcepts.com,Assisted Living Facility, 35
Lynnwood Post-Acute Rehabilitation Center,Bret Heiner,Administrator,425-776-5512,http://www.ensigngroup.net,Skilled Nursing Facility, 67
Bonaventure of Maple Valley,,,425-660-9020,https://maple-valley.bonaventuresenior.com/,Assisted Living Facility,
Fairwinds – Brighton Court,Jackie Requa-Hall,General Manager,425-775-4440,http://www.leisurecare.com,Assisted Living Facility, 65
Chateau Pacific,Carissa Brumell,Executive Director,425-787-9693,http://www.chateau-retirement.com,Assisted Living Facility, 138
Brookdale Alderwood,Mike Ulm,Executive Director,425-774-3300,http://www.brookdale.com,Assisted Living Facility, 60
Alderwood Post Acute and Rehabilitation,Nikki Graham,Administrator,425-775-9222,https://alderwoodpostacute.com/,Skilled Nursing Facility, 113
Aegis of Lynnwood,Maria Domann,General Manager,425-712-9999,http://www.aegisliving.com,Assisted Living Facility, 52
Meadow Greens,Joshua Howell,Administrator,360-354-8200,http://www.meadowgreenslynden.com,Assisted Living Facility, 35
Somerset Retirement Apartments,Carylyn Wonser,Administrator,360-423-7392,http://www.bondapts.com,Assisted Living Facility, 56
Prestige Senior Living Monticello Park,Hanna Traphagan,Executive Director,360-575-1778,http://www.prestigecare.com,Assisted Living Facility, 95
New Westside Terrace,Eric Rosgen,Administrator,360-423-9392,http://www.bondapts.com,Assisted Living Facility, 62
Frontier Rehabilitation and Extended Care Center,Richelle Hornung,Administrator,360-423-8800,http://www.empres.com,Skilled Nursing Facility, 140
Beacon Hill Rehabilitation,Steven Ross,Administrator,360-423-4060,http://www.beaconhillrehabilitation.com,Skilled Nursing Facility, 67
Americana Health & Rehabilitation Center,Michael McCoy,Administrator,360-425-5910,http://www.evergreenhealthcare.com,Skilled Nursing Facility, 74
Guardian Angel Homes Liberty Lake,Cheng Moua,Administrator,509-893-9300,http://www.guardianangelhomes.com,Assisted Living Facility, 104
Mountain Meadows Senior Living Campus,Nate Oglesby,Executive Director,509-293-4841,http://www.mountainmeadowsliving.org,Assisted Living Facility, 60
The Oaks at Lakewood,,,253-581-9002,http://www.fiveoakshealth.com,Skilled Nursing Facility, 80
Maple Creek of Lakewood,Zoraida Otero,Executive Director and DNS,253-588-0227,http://www.seniorhousingmanagement.org,Assisted Living Facility, 75
Mustard Seed Project of Key Peninsula,Denise Mecartea,Administrator,253-900-9936,http://www.mustardseedvillage.org,Assisted Living Facility, 30
Ashley Pointe Senior Living,Heinz Gehner,Executive Director,425-397-7500,http://www.ashley-point.com,Assisted Living Facility, 40
Woodland Retirement & Assisted Living,Jennifer Klasna,Executive Director,360-528-3253,http://www.bonaventuresenior.com,Assisted Living Facility, 114
Roo-Lan Health & Rehab,,,360-491-1765,http://www.roolanhealthrehab.com,Skilled Nursing Facility, 96
Memory Care at the Lodges,Yvonne King-Kee,Executive Director,360-455-9159,,Assisted Living Facility, 64
Lacey Post Acute and Rehabilitation,Molly  Clark,Infection Control Nurse,360-491-9890,http://www.hillvalleyhc.com,Skilled Nursing Facility, 120
Bonaventure of Lacey,Ebani Jackson,Executive Director,360-339-5017,https://bonaventuresenior.com/communities/lacey-washington/,Assisted Living Facility, 126
Life Care Center of Kirkland,Jasmeen Gill,Administrator,425-823-2323,http://www.lcca.com,Skilled Nursing Facility, 190
Merrill Gardens at Kirkland,Reza Baharmast,General Manager,425-296-4588,http://www.merrillgardens.com,Assisted Living Facility, 40
Cogir of Kirkland,Laurel Cline,Administrator,425-655-9696,,Assisted Living Facility, 85
Aegis of Kirkland,Peter Koshi,General Manager,425-823-7272,http://www.aegisliving.com,Assisted Living Facility, 60
Aegis Living Kirkland Waterfront,David Watkins,General Manager,425-659-3432,http://www.aegisliving.com,Assisted Living Facility, 126
Aegis Lodge,,,425-814-2841,http://www.aegisliving.com,Assisted Living Facility, 96
The Lodge at Arbor Village,Jennifer Shegrud,Executive Director,253-856-1600,http://www.cascadeliving.com,Assisted Living Facility, 60
The Inn at Arbor Village,Jennifer Shegrud,Executive Director,253-893-0340,,Assisted Living Facility, 14
Cogir of Kent,Monica Rangel,Executive Director,253-549-9300,,Assisted Living Facility, 140
Stafford Suites at Kent,Jeni  Futch,ED in Training,253-850-0333,http://www.staffordcare.com,Assisted Living Facility, 75
Benson Heights Rehabilitation Center,William Connell,Administrator,253-852-7755,http://www.avalonhealthcare.com,Skilled Nursing Facility, 91
Arbor Village Assisted Living,Jennifer  Shegrud,Executive Director,253-856-1600,http://www.cascadeliving.com,Assisted Living Facility, 100
Aegis of Kent,Chloe Holcomb,General Manager,253-520-8400,http://www.aegisliving.com,Assisted Living Facility, 48
Windsong at Southridge,Drew Percival,Executive Director,509-202-4327,,Assisted Living Facility, 56
Three Rivers Place,Arthur Garza,Executive Director,509-582-0207,,Assisted Living Facility, 42
Royal Columbian Senior Living,Ryan Dupuy,Executive Director,509-783-1628,http://www.greenlakeseniorliving.com,Assisted Living Facility, 120
Regency Canyon Lakes,Parker Rieckelman,Administrator,509-582-5900,http://www.regency-pacific.com,Skilled Nursing Facility, 53
Parkview Estates Senior Living Community,Sonya Arnold,Executive Director,509-734-9773,http://www.parkviewslc.com,Assisted Living Facility, 110
Life Care Center of Kennewick,Matt Trowbridge,Executive Director,509-586-9185,http://www.lcca.com,Skilled Nursing Facility, 136
Hawthorne Court Retirement Community,Laurie Hanny,Executive Director,509-783-8313,http://www.leisurecare.com,Assisted Living Facility, 62
Ciel Senior Living of Tri-Cities Memory Care,Lauren Parmelee,Executive Director,509-491-3945,,Assisted Living Facility, 69
Ciel Senior Living of Tri-Cities,Lauren Parmelee,Campus Executive Director,509-491-3946,,Assisted Living Facility, 102
Callaway Gardens,Laura Riojas,Administrator,509-783-5433,http://www.jeaseniorliving.com,Assisted Living Facility, 56
Brookdale Canyon Lakes,Joe Green,Executive Director,509-834-0317,http://www.brookdale.com,Assisted Living Facility, 43
University House Issaquah,Susan Vahlkamp,Executive Director,425-557-4200,http://Eraliving.com,Assisted Living Facility, 55
Trustwell Living at Highlander Place,Breanne Johnson,Executive Director,360-636-2319,https://www.trustwellliving.com/senior-living/wa/kelso/highlander-place/,Assisted Living Facility, 40
Timber Ridge at Talus SNF,Heather Turner,Executive Director,425-427-5200,http://www.timberridgelcs.com,Skilled Nursing Facility, 45
Timber Ridge at Talus AL,Heather Turner,Executive Director,425-427-5200,http://www.timberridgelcs.com,Assisted Living Facility, 35
Sunrise Senior Living of Issaquah,Phyllis Fischer,Executive Director,425-392-0486,http://www.sunriseissaquah.com,Assisted Living Facility, 107
Spiritwood at Pine Lake,Brenda Pajo,Executive Director,425-313-9100,http://www.villageconcepts.com,Assisted Living Facility, 80
Ciel Senior Living of Issaquah,Kristina Prevette,Administrator/Operations Specialist,425-880-9597,,Assisted Living Facility, 68
Avamere Rehabilitation of Issaquah,Denney Austin,Administrator,425-600-4510,https://avamereissaquah.com/,Skilled Nursing Facility, 140
Aegis of Issaquah,Shannon Sheron,General Manager,425-392-8100,http://www.aegisliving.com,Assisted Living Facility, 100
Riverside Place,Angie Silvan,Executive Director,360-532-3007,http://www.caringplaces.com,Assisted Living Facility, 38
Pacific Care and Rehabilitation,Loupel Antiquiera,Administrator,360-532-7882,http://www.ensigngroup.net,Skilled Nursing Facility, 109
The Lodge at Mallard’s Landing,Steve Wickline,Executive Director,253-858-4990,http://www.seniorservicesofamerica.com,Assisted Living Facility, 136
Channel Point Village,Brandon Mullins,Executive Director,360-532-9000,http://www.villageconcepts.com,Assisted Living Facility, 40
Sound Vista Village,Tina Nutt,Executive Director,253-851-9929,http://www.villageconcepts.com,Assisted Living Facility, 36
Harbor Place at Cottesmore,MaryKay Duran,Executive Director,253-853-3354,http://www.harborplaceretirement.com,Assisted Living Facility, 90
Green Lake Senior Living Gig Harbor,Paulette Stahl,Executive Director,253-851-5306,http://www.greenlakeseniorliving.com,Assisted Living Facility, 60
Gig Harbor Health and Rehabilitation,Tami Doepke,Administrator,253-858-8688,http://gigharborhrc.com,Skilled Nursing Facility, 120
Gig Harbor Court,LaTanya Jules,Executive Director,253-858-5300,http://www.PegasusSeniorLiving.com,Assisted Living Facility, 100
Cottesmore of Life Care,Amanda Schlaikowski,AIT,253-851-5433,http://www.lcca.com,Skilled Nursing Facility, 108
LaDow Court Assisted Living,Amanda Bankus,Executive Director,509-635-1411,,Assisted Living Facility, 16
Brookdale Harbor Bay,Angie Dunlap,Executive Director,253-858-7790,http://www.brookdale.com,Assisted Living Facility, 44
Village at the Harbor,Tina Smith,Assistant Administrator,360-378-7144,http://www.villageattheharbor.com,Assisted Living Facility, 36
Maple Ridge Assisted Living Community LLC,Tera Vazquez,Executive Director,360-331-1303,http://www.bonaventuresenior.com,Assisted Living Facility, 81
Grace Retirement Home,Tsegaye Mekonnen,Administrator,360-384-4050,,Assisted Living Facility, 12
Village Green Senior Living Federal Way,Esther Densmore,Executive Director,253-838-3700,http://www.villagegreenretirement.com,Assisted Living Facility, 65
Mirror Lake Village,Tom Brooks,Executive Director,206-212-4208,http://www.seniorservicesofamerica.com,Assisted Living Facility, 120
Life Care Center of Federal Way,Ryan Lockwood,Executive Director,253-946-2273,http://www.lcca.com,Skilled Nursing Facility, 157
Hallmark Manor,Amanda Winfield,Executive Director,253-874-3580,http://www.lcca.com,Skilled Nursing Facility, 147
Garden Terrace Healthcare Center (SNF),Megan Larson,Executive Director,253-661-2226,http://www.lcca.com,Skilled Nursing Facility, 70
Garden Terrace Healthcare Center (AL),Megan Larson,Executive Director,253-661-2226,,Assisted Living Facility, 34
Brookdale Foundation House,Cristine Anderson,Executive Director,253-838-8823,http://www.brookdale.com,Assisted Living Facility, 129
Brookdale Federal Way,TJ Bal,Executive Director,253-941-0156,http://www.brookdale.com,Assisted Living Facility, 110
Washington Oakes Retirement Community,Marc Nowak,General Manager,425-339-3300,http://www.washingtonoakes.com,Assisted Living Facility, 50
Avalon Care Center – Federal Way,Samantha Wachowski,Administrator,253-835-7453,http://www.avalonhci.com,Skilled Nursing Facility, 120
View Ridge Care Center,Kondi Kulisewa,Administrator,425-258-4474,,Skilled Nursing Facility, 70
Sunrise View Retirement Villa,,,425-353-4040,http://www.sunriseview.org,Assisted Living Facility, 65
The Terrace at Beverly Lake,Scott Owens,Executive Director,425-348-8800,http://www.silveradosenior.com,Assisted Living Facility, 60
Sunrise View Convalescent Center,Michael Littman,Administrator,425-353-4040,http://www.sunriseview.org,Skilled Nursing Facility, 59
South Pointe Assisted Living Residence,Mary Gould,Executive Director,425-513-5645,http://www.SouthPointe-AL.com,Assisted Living Facility, 38
MorningStar at Silver Lake,Ashley Stark,Executive Director,425-438-9080,,Assisted Living Facility, 80
Everett Heritage Court,Rachelle Lloyd,Executive Director,425-259-7200,,Assisted Living Facility, 47
Everett Transitional Care Services,Sheryl Morris,Administrator,425-382-2800,,Skilled Nursing Facility, 31
Everett Center,Matthew Payne,Administrator,425-513-1600,http://www.genesishcc.com,Skilled Nursing Facility, 100
Brookdale Everett,Angela Kind,Executive Director,425-347-0372,http://www.brookdale.com,Assisted Living Facility, 80
Brookdale Silver Lake,Michael Hickey,Executive Director,425-337-6336,http://www.brookdale.com,Assisted Living Facility, 60
Brookdale Arbor Place,Lorena Amarillo,Executive Director,425-338-3227,http://www.brookdale.com,Assisted Living Facility, 115
Bethany at Silver Lake,,,425-338-3000,http://www.bethanynw.org,Skilled Nursing Facility, 151
Bethany at Silver Crest,Laurie Tate,Administrator,425-385-2335,http://www.bethanynw.org,Assisted Living Facility, 58
Bethany at Pacific,Preet Mann,Administrator,425-259-5508,http://www.bethanynw.org,Skilled Nursing Facility, 80
Living Court Assisted Living,Sandy Short,Administrator,360-825-0280,http://www.prestigecare.com,Assisted Living Facility, 65
High Point Village,Angie Howells,Executive Director,360-825-7780,http://www.villageconcepts.com,Assisted Living Facility, 70
Enumclaw Health and Rehabilitation Center,Angela Davis,Administrator,360-825-2541,,Skilled Nursing Facility, 92
Expressions at Enumclaw,,,360-825-4565,http://www.prestigecare.com,Assisted Living Facility, 52
Cascade Place,Bansari Shah,Administrator,360-802-0177,http://www.caringplaces.com,Assisted Living Facility, 40
Elma Home Care Center,Lori Miller,Administrator,360-482-2684,,Assisted Living Facility, 26
Prestige Senior Living at Hearthstone,Tonee Muenzhuber,Administrator,509-925-3099,http://www.prestigecare.com,Assisted Living Facility, 69
Prestige Post-Acute and Rehab-Kittitas,Mark Cenis,Administrator,509-925-4171,http://www.prestigecare.com,Skilled Nursing Facility, 74
Sunrise of Edmonds,Wendy Kleppe,Executive Director,425-673-9700,http://www.sunriseedmonds.com,Assisted Living Facility, 76
Rosewood Courte Memory Care Community,Mary Shepard,Executive Director,425-673-2875,http://www.rosewoodcourte.com,Assisted Living Facility, 46
Prestige Post-Acute and Rehab-Edmonds,William McElya,Administrator,425-778-0107,http://www.prestigecare.com,Skilled Nursing Facility, 80
Edmonds Landing Retirement,,,425-744-1181,http://www.edmondslanding.com,Assisted Living Facility, 83
Edmonds Care,Brandon Matrone,Administrator,425-775-1961,http://www.calderacare.com,Skilled Nursing Facility, 128
Cogir of Edmonds,Michelle Strazis,Executive Director,425-776-3600,http://www.cogirseniorliving.com,Assisted Living Facility, 70
Prestige Senior Living at East Wenatchee,Kirsten Ryles,Executive Director,509-884-3938,http://www.prestigecare.com,Assisted Living Facility, 42
Bonaventure of East Wenatchee,Jeff Mason,Executive Director,509-881-2093,http://www.bonaventuresenior.com,Assisted Living Facility, 149
Patriots Landing,Gidgette Chesley,Administrator,253-964-4900,http://www.patriotslanding.com,Assisted Living Facility, 157
Stafford Healthcare – SeaTac,John Mock,Interim Administrator,206-824-0600,http://www.staffordcare.com,Skilled Nursing Facility, 165
Rivers Walk Assisted Living Facility,Jaylee Lippert,Administrator,509-382-8352,https://cchd-wa.org/riverswalk-assisted-living-facility/,Assisted Living Facility, 44
Patit Creek Adult Residential Care,"Kenneth Roughton, Ph.D.",Administrator,509-382-2410,http://www.gcbh.org,Assisted Living Facility, 30
Ruthaven,Patrick Simon,Owner,253-631-5600,http://www.ruthaven.com,Assisted Living Facility, 14
Regency Pacific Coupeville,,,360-678-2273,,Skilled Nursing Facility, 112
Colville Health & Rehabilitation,Dustin Blewett-Beckvold,CEO,509-684-2573,https://www.colvillehealth.com/,Skilled Nursing Facility, 92
Buena Vista Healthcare,Tyson Luu,Administrator,509-684-4539,http://www.buenavistahealthcare.com,Skilled Nursing Facility, 40
Buena Vista Assisted Living,Tyson Luu,Administrator,509-684-4539,http://www.empres.com,Assisted Living Facility, 22
Regency at the Park,Roger Joice,Administrator,509-529-4480,http://www.regencyWallaWalla.com,Skilled Nursing Facility, 106
Eagle Springs Memory Care Community,Kimberley Wilkinson,Executive Director,509-525-6335,http://www.seniorlifestyle.com,Assisted Living Facility, 54
The Courtyard at Colfax,Jennifer Broeckel,Executive Director,509-397-6123,http://www.thecourtyardatcolfax.com,Assisted Living Facility, 50
Brookdale College Place,Donald Veverka,Executive Director,509-526-7007,http://www.brookdale.com,Assisted Living Facility, 95
Evergreen Estates Retirement,Peter Camerlo,Administrator,509-758-5260,http://www.evergreenestatesclarkston.com,Assisted Living Facility, 55
Colfax Health and Rehabilitation of Cascadia,David Weeks,Administrator,509-397-4603,http://www.cascadiahc.com,Skilled Nursing Facility, 55
